dt_sin_pri,notified,probable,lab_confirmed,acum_notified,acum_probable,acum_lab_confirmed
2020-03-26,200.14285714285714,196.71428571428572,4.571428571428571,71827.57142857143,43533.28571428572,14175.57142857143
2020-03-27,196.42857142857142,193.0,5.0,72024.0,43726.28571428572,14180.57142857143
2020-03-28,201.57142857142858,197.14285714285714,5.571428571428571,72225.57142857143,43923.42857142857,14186.142857142857
2020-03-29,202.71428571428572,198.28571428571428,5.428571428571429,72428.28571428571,44121.71428571428,14191.57142857143
2020-03-30,206.14285714285714,201.42857142857142,5.571428571428571,72634.42857142857,44323.142857142855,14197.142857142857
2020-03-31,202.85714285714286,197.85714285714286,4.857142857142857,72837.28571428571,44521.0,14202.0
2020-04-01,202.57142857142858,196.57142857142858,5.571428571428571,73039.85714285714,44717.57142857143,14207.57142857143
2020-04-02,194.57142857142858,188.42857142857142,5.857142857142857,73234.42857142857,44906.0,14213.42857142857
2020-04-03,186.71428571428572,180.0,5.428571428571429,73421.14285714286,45086.0,14218.857142857143
2020-04-04,178.14285714285714,172.28571428571428,5.142857142857143,73599.28571428571,45258.28571428572,14224.0
2020-04-05,171.71428571428572,165.14285714285714,5.285714285714286,73771.0,45423.42857142857,14229.285714285714
2020-04-06,162.42857142857142,156.71428571428572,5.714285714285714,73933.42857142857,45580.142857142855,14235.0
2020-04-07,155.42857142857142,149.85714285714286,5.571428571428571,74088.85714285714,45730.0,14240.57142857143
2020-04-08,147.0,141.71428571428572,5.571428571428571,74235.85714285714,45871.71428571428,14246.142857142857
2020-04-09,141.71428571428572,136.57142857142858,5.428571428571429,74377.57142857143,46008.28571428572,14251.57142857143
2020-04-10,137.14285714285714,131.0,6.0,74514.71428571429,46139.28571428572,14257.57142857143
2020-04-11,131.14285714285714,125.0,5.571428571428571,74645.85714285714,46264.28571428572,14263.142857142857
2020-04-12,119.14285714285714,113.14285714285714,4.714285714285714,74765.0,46377.42857142857,14267.857142857143
2020-04-13,114.14285714285714,107.57142857142857,4.285714285714286,74879.14285714286,46485.0,14272.142857142857
2020-04-14,110.42857142857143,103.14285714285714,4.571428571428571,74989.57142857143,46588.142857142855,14276.714285714286
2020-04-15,101.42857142857143,92.57142857142857,4.142857142857143,75091.0,46680.71428571428,14280.857142857143
2020-04-16,98.57142857142857,87.85714285714286,3.7142857142857144,75189.57142857143,46768.57142857143,14284.57142857143
2020-04-17,96.14285714285714,83.0,3.4285714285714284,75285.71428571429,46851.57142857143,14288.0
2020-04-18,92.14285714285714,73.57142857142857,3.857142857142857,75377.85714285714,46925.142857142855,14291.857142857143
2020-04-19,93.14285714285714,65.14285714285714,4.0,75471.0,46990.28571428572,14295.857142857143
